Date,Open,High,Low,Close,Adj Close,Volume
2017-10-12,76.489998,77.290001,76.370003,77.120003,77.120003,16876500
2017-10-13,77.589996,77.870003,77.290001,77.489998,77.489998,15335700
2017-10-16,77.419998,77.809998,77.349998,77.650002,77.650002,12380100
2017-10-17,77.470001,77.620003,77.250000,77.589996,77.589996,16824000
2017-10-18,77.669998,77.849998,77.370003,77.610001,77.610001,13300700
2017-10-19,77.570000,77.930000,77.349998,77.910004,77.910004,15092800
2017-10-20,78.320000,78.970001,78.220001,78.809998,78.809998,22866400
2017-10-23,78.989998,79.339996,78.760002,78.830002,78.830002,20627200
2017-10-24,78.900002,79.199997,78.459999,78.860001,78.860001,17517200
2017-10-25,78.580002,79.099998,78.010002,78.629997,78.629997,20410800
2017-10-26,79.199997,79.419998,78.750000,78.760002,78.760002,32120700
2017-10-27,84.370003,86.199997,83.610001,83.809998,83.809998,71066700
2017-10-30,83.699997,84.330002,83.110001,83.889999,83.889999,31756700
2017-10-31,84.360001,84.360001,83.110001,83.180000,83.180000,27086600
2017-11-01,83.680000,83.760002,82.879997,83.180000,83.180000,22307400
2017-11-02,83.349998,84.459999,83.120003,84.050003,84.050003,23992900
2017-11-03,84.080002,84.540001,83.400002,84.139999,84.139999,17633500
2017-11-06,84.199997,84.699997,84.080002,84.470001,84.470001,19860900
2017-11-07,84.769997,84.900002,83.930000,84.269997,84.269997,17939700
2017-11-08,84.139999,84.610001,83.830002,84.559998,84.559998,18034200
2017-11-09,84.110001,84.269997,82.900002,84.089996,84.089996,21178400
2017-11-10,83.790001,84.099998,83.230003,83.870003,83.870003,19394800
